"z","year","buffer","biomass","perc_change","agc_flux"
"29.784557055_-4.844423061","2010",20,11.3426494598389,-8.86374752373109,-1.1031656265258
"29.793540207_-4.781540997","2007",20,18.9995365142822,NA,NA
"29.793540207_-4.781540997","2008",20,17.1610927581787,-9.67625581140634,-1.8384437561035
"29.793540207_-4.781540997","2009",20,16.3322982788086,-4.8294971133182,-0.828794479370099
"29.793540207_-4.781540997","2010",20,15.6260442733765,-4.32427814735955,-0.7062540054321
"29.793540207_-4.817473605","2007",20,5.99626016616821,NA,NA
"29.793540207_-4.817473605","2008",20,8.93541717529297,49.0165024144203,2.93915700912476
"29.793540207_-4.817473605","2009",20,1.61249804496765,-81.953858299685,-7.32291913032532
"29.793540207_-4.817473605","2010",20,1.6746723651886,3.85577647148076,0.0621743202209499
"29.802523359_-4.763574693","2007",20,17.6304092407227,NA,NA
"29.802523359_-4.763574693","2008",20,12.6759052276611,-28.1020363476174,-4.9545040130616
"29.802523359_-4.763574693","2009",20,4.59357261657715,-63.7613840268137,-8.08233261108395
"29.802523359_-4.763574693","2010",20,5.58352422714233,21.5507991969621,0.98995161056518
"29.802523359_-4.772557845","2007",20,29.1077690124512,NA,NA
"29.802523359_-4.772557845","2008",20,31.0115833282471,6.54057105847418,1.9038143157959
"29.802523359_-4.772557845","2009",20,27.0213279724121,-12.8669836480115,-3.990255355835
"29.802523359_-4.772557845","2010",20,28.9727077484131,7.22162795993334,1.951379776001
"29.811506511_-4.745608389","2007",20,11.8091526031494,NA,NA
